,Point,Time [ms],Field [kV/cm],Measured Polarization
0,Valid,Data,,
1,Point,Time,(ms),Field
2,1,4.9650e-01,-0.036400,6.046591
3,2,9.9300e-01,-0.204247,6.042032
4,3,1.4895e+00,-0.394339,6.037473
5,4,1.9860e+00,-0.473206,6.026834
6,5,2.4825e+00,-0.647120,6.010118
7,6,2.9790e+00,-0.798788,6.004799
8,7,3.4755e+00,-0.950457,6.000999
9,8,3.9720e+00,-1.079881,5.988841
10,9,4.4685e+00,-1.255817,5.978963
11,10,4.9650e+00,-1.401419,5.966046
12,11,5.4615e+00,-1.551065,5.964526
13,12,5.9580e+00,-1.694645,5.958447
14,13,6.4545e+00,-1.836202,5.947049
15,14,6.9510e+00,-1.977760,5.937931
16,15,7.4475e+00,-2.042472,5.933372
17,16,7.9440e+00,-2.295253,5.920454
18,17,8.4405e+00,-2.442877,5.914375
19,18,8.9370e+00,-2.596568,5.910576
20,19,9.4335e+00,-2.742170,5.900698
21,20,9.9300e+00,-2.914061,5.895379
22,21,1.0427e+01,-3.005062,5.888540
23,22,1.0923e+01,-3.191109,5.881701
24,23,1.1419e+01,-3.344800,5.866504
25,24,1.1916e+01,-3.502536,5.858145
26,25,1.2412e+01,-3.623870,5.853586
27,26,1.2909e+01,-3.753294,5.849027
28,27,1.3405e+01,-3.951475,5.830790
29,28,1.3902e+01,-4.070788,5.827751
30,29,1.4399e+01,-4.216389,5.821672
31,30,1.4895e+01,-4.341769,5.803435
32,31,1.5392e+01,-4.554105,5.800396
33,32,1.5888e+01,-4.679485,5.794317
34,33,1.6384e+01,-4.837220,5.783679
35,34,1.6881e+01,-4.976755,5.768482
36,35,1.7378e+01,-5.087979,5.762403
37,36,1.7874e+01,-5.265937,5.751765
38,37,1.8370e+01,-5.437828,5.744166
39,38,1.8867e+01,-5.567252,5.731249
40,39,1.9363e+01,-5.712854,5.718331
41,40,1.9860e+01,-5.852389,5.713772
42,41,2.0357e+01,-6.020236,5.700094
43,42,2.0853e+01,-6.163815,5.694016
44,43,2.1349e+01,-6.293239,5.684137
45,44,2.1846e+01,-6.479286,5.676539
46,45,2.2343e+01,-6.649155,5.663621
47,46,2.2839e+01,-6.798802,5.653743
48,47,2.3335e+01,-6.924181,5.645384
49,48,2.3832e+01,-7.043494,5.630947
50,49,2.4328e+01,-7.239652,5.619549
51,50,2.4825e+01,-7.360987,5.619549
52,51,2.5322e+01,-7.510633,5.607391
53,52,2.5818e+01,-7.696680,5.589915
54,53,2.6314e+01,-7.793748,5.591434
55,54,2.6811e+01,-7.902950,5.575477
56,55,2.7308e+01,-8.135508,5.566359
57,56,2.7804e+01,-8.295266,5.558760
58,57,2.8300e+01,-8.420645,5.549642
59,58,2.8797e+01,-8.572314,5.545843
60,59,2.9294e+01,-8.721961,5.535205
61,60,2.9790e+01,-8.879696,5.525326
62,61,3.0287e+01,-8.999009,5.506330
63,62,3.0783e+01,-9.172922,5.496452
64,63,3.1279e+01,-9.326613,5.488853
65,64,3.1776e+01,-9.429748,5.477455
66,65,3.2273e+01,-9.615795,5.458459
67,66,3.2769e+01,-9.759374,5.455419
68,67,3.3266e+01,-9.921154,5.444021
69,68,3.3762e+01,-10.024289,5.428824
70,69,3.4258e+01,-10.236625,5.418946
71,70,3.4755e+01,-10.351893,5.407548
72,71,3.5252e+01,-10.525807,5.396910
73,72,3.5748e+01,-10.667364,5.377914
74,73,3.6245e+01,-10.823077,5.369555
75,74,3.6741e+01,-10.938346,5.352838
76,75,3.7237e+01,-11.142593,5.344480
77,76,3.7734e+01,-11.241683,5.330042
78,77,3.8230e+01,-11.397396,5.324723
79,78,3.8727e+01,-11.547043,5.308766
80,79,3.9224e+01,-11.702756,5.299648
81,80,3.9720e+01,-11.870603,5.295089
82,81,4.0217e+01,-11.967670,5.278372
83,82,4.0713e+01,-12.137539,5.261655
84,83,4.1209e+01,-12.315497,5.259375
85,84,4.1706e+01,-12.434810,5.244178
86,85,4.2203e+01,-12.610746,5.232020
87,86,4.2699e+01,-12.774548,5.218343
88,87,4.3196e+01,-12.895883,5.208465
89,88,4.3692e+01,-13.043507,5.199346
90,89,4.4188e+01,-13.191131,5.192508
91,90,4.4685e+01,-13.209331,5.170472
92,91,4.5181e+01,-13.514691,5.163633
93,92,4.5678e+01,-13.634004,5.149195
94,93,4.6175e+01,-13.789717,5.138557
95,94,4.6671e+01,-13.939363,5.126400
96,95,4.7167e+01,-14.089010,5.112722
97,96,4.7664e+01,-14.317524,5.101324
98,97,4.8160e+01,-14.382236,5.089166
99,98,4.8657e+01,-14.546038,5.076249
100,99,4.9154e+01,-14.689618,5.060292
101,100,4.9650e+01,-14.849376,5.048134
102,101,5.0147e+01,-15.001044,5.036736
103,102,5.0643e+01,-15.172935,5.014700
104,103,5.1139e+01,-15.290226,5.007102
105,104,5.1636e+01,-15.449984,4.988105
106,105,5.2133e+01,-15.575363,4.981266
107,106,5.2629e+01,-15.729054,4.970628
108,107,5.3126e+01,-15.846344,4.954671
109,108,5.3622e+01,-16.050592,4.935675
110,109,5.4118e+01,-16.169904,4.927316
111,110,5.4615e+01,-16.345840,4.909839
112,111,5.5111e+01,-16.489420,4.897682
113,112,5.5608e+01,-16.657266,4.889323
114,113,5.6105e+01,-16.815002,4.865008
115,114,5.6601e+01,-16.930270,4.861208
116,115,5.7097e+01,-17.094072,4.842212
117,116,5.7594e+01,-17.261919,4.823975
118,117,5.8090e+01,-17.365053,4.810298
119,118,5.8587e+01,-17.508633,4.802699
120,119,5.9084e+01,-17.682547,4.786742
121,120,5.9580e+01,-17.824104,4.776104
122,121,6.0077e+01,-17.995995,4.766226
123,122,6.0573e+01,-18.097108,4.749509
124,123,6.1069e+01,-18.319555,4.735831
125,124,6.1566e+01,-18.432801,4.716075
126,125,6.2063e+01,-18.592559,4.708476
127,126,6.2559e+01,-18.730072,4.701638
128,127,6.3056e+01,-18.877696,4.678842
129,128,6.3552e+01,-19.029365,4.660605
130,129,6.4049e+01,-19.144633,4.656046
131,130,6.4545e+01,-19.326635,4.638569
132,131,6.5041e+01,-19.486393,4.620332
133,132,6.5538e+01,-19.629973,4.608935
134,133,6.6034e+01,-19.745241,4.588418
135,134,6.6531e+01,-20.034422,4.577780
136,135,6.7028e+01,-20.062734,4.561823
137,136,6.7524e+01,-20.224514,4.543587
138,137,6.8020e+01,-20.380227,4.532949
139,138,6.8517e+01,-20.548074,4.510153
140,139,6.9013e+01,-20.570318,4.499515
141,140,6.9510e+01,-20.790744,4.481278
142,141,7.0007e+01,-20.976790,4.468360
143,142,7.0503e+01,-21.108237,4.451643
144,143,7.0999e+01,-21.259905,4.442525
145,144,7.1496e+01,-21.413596,4.415930
146,145,7.1993e+01,-21.557176,4.406052
147,146,7.2489e+01,-21.704800,4.388575
148,147,7.2986e+01,-21.856469,4.371098
149,148,7.3482e+01,-22.034427,4.357421
150,149,7.3978e+01,-22.182051,4.342223
151,150,7.4475e+01,-22.264963,4.336145
152,151,7.4972e+01,-22.527856,4.315628
153,152,7.5468e+01,-22.624924,4.293592
154,153,7.5965e+01,-22.756370,4.279915
